scene,evaluator,role,question,task,vote
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,生成一个古朴高级感的茶馆品牌 logo,5
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,设计一个运动感的服饰行业图形 logo,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,一个美妆品牌 logo 设计，高端奢侈感、用柔美感的文字设计,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,生成一个汽车品牌 logo，简约抽象的符号图形标识,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,参考这个 logo，做一个意境感的新中式餐饮品牌 logo,4
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"生成茶馆品牌 logo，品牌名是""美好时光""纯中文字体设计标志，手写字体，古朴感",1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"生成服饰行业 logo，品牌名是""BETTER""英文字体设计标志，简约字体，运动",4
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"生成美妆品牌 logo，中文品牌名是""美好生活""衬线宋体字设计，简约曲线设计，柔",4
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,生成快递外卖行业 logo，品牌标识是一个立体图形（星球与箭头结合），有透视感，,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,攀岩馆品牌 logo 设计，名字：岩屿，搭配英文 climbing girls，,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,图一的 logo 和文字替换图二海报上的文字信息，保持和谐关系和色调,5
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"纸袋上的 logo 内容都不变，载体换成""围裙""，保持这个被火烧焦边缘的设计风格",1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,给图一的 logo 匹配图二调性的场景,1
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,将图片变成红黄色调，花的样式换成简约的玫瑰样式，文字内容、设计风格、排版形式都不,5
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,设计一个酒店民宿品牌 logo，简约图形设计，温暖有故事感，并延展一套同风格调性,4
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"设计一个简约高级的公益协会 logo，名称为""BLUE POWER""，图形用""B",4
logo设计,E01,研发,对照任务 Prompt，哪张图的完成度最高？/V1,"为书店品牌""IRENE""设计3个标志方案，要求采用艺术创意风格，以吸引年轻和具有",1
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,生成一个古朴高级感的茶馆品牌 logo,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,设计一个运动感的服饰行业图形 logo,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,一个美妆品牌 logo 设计，高端奢侈感、用柔美感的文字设计,1
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,生成一个汽车品牌 logo，简约抽象的符号图形标识,1
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,参考这个 logo，做一个意境感的新中式餐饮品牌 logo,4
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"生成茶馆品牌 logo，品牌名是""美好时光""纯中文字体设计标志，手写字体，古朴感",1
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"生成服饰行业 logo，品牌名是""BETTER""英文字体设计标志，简约字体，运动",4
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"生成美妆品牌 logo，中文品牌名是""美好生活""衬线宋体字设计，简约曲线设计，柔",5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,生成快递外卖行业 logo，品牌标识是一个立体图形（星球与箭头结合），有透视感，,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,攀岩馆品牌 logo 设计，名字：岩屿，搭配英文 climbing girls，,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,图一的 logo 和文字替换图二海报上的文字信息，保持和谐关系和色调,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"纸袋上的 logo 内容都不变，载体换成""围裙""，保持这个被火烧焦边缘的设计风格",5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,给图一的 logo 匹配图二调性的场景,1
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,将图片变成红黄色调，花的样式换成简约的玫瑰样式，文字内容、设计风格、排版形式都不,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,设计一个酒店民宿品牌 logo，简约图形设计，温暖有故事感，并延展一套同风格调性,5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"设计一个简约高级的公益协会 logo，名称为""BLUE POWER""，图形用""B",5
logo设计,E01,研发,哪张 logo 的图形以及文字最准确，没有崩坏、结构错乱、模糊、错别字的问题？/V1,"为书店品牌""IRENE""设计3个标志方案，要求采用艺术创意风格，以吸引年轻和具有",5
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,生成一个古朴高级感的茶馆品牌 logo,4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,设计一个运动感的服饰行业图形 logo,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,一个美妆品牌 logo 设计，高端奢侈感、用柔美感的文字设计,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,生成一个汽车品牌 logo，简约抽象的符号图形标识,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,参考这个 logo，做一个意境感的新中式餐饮品牌 logo,4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"生成茶馆品牌 logo，品牌名是""美好时光""纯中文字体设计标志，手写字体，古朴感",1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"生成服饰行业 logo，品牌名是""BETTER""英文字体设计标志，简约字体，运动",4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"生成美妆品牌 logo，中文品牌名是""美好生活""衬线宋体字设计，简约曲线设计，柔",4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,生成快递外卖行业 logo，品牌标识是一个立体图形（星球与箭头结合），有透视感，,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,攀岩馆品牌 logo 设计，名字：岩屿，搭配英文 climbing girls，,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,图一的 logo 和文字替换图二海报上的文字信息，保持和谐关系和色调,5
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"纸袋上的 logo 内容都不变，载体换成""围裙""，保持这个被火烧焦边缘的设计风格",1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,给图一的 logo 匹配图二调性的场景,1
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,将图片变成红黄色调，花的样式换成简约的玫瑰样式，文字内容、设计风格、排版形式都不,3
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,设计一个酒店民宿品牌 logo，简约图形设计，温暖有故事感，并延展一套同风格调性,4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"设计一个简约高级的公益协会 logo，名称为""BLUE POWER""，图形用""B",4
logo设计,E01,研发,哪张 logo 最有记忆点，创意和设计感最强，看过之后就会记住？/V1,"为书店品牌""IRENE""设计3个标志方案，要求采用艺术创意风格，以吸引年轻和具有",1
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,生成一个古朴高级感的茶馆品牌 logo,4
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,设计一个运动感的服饰行业图形 logo,1
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,一个美妆品牌 logo 设计，高端奢侈感、用柔美感的文字设计,1
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,生成一个汽车品牌 logo，简约抽象的符号图形标识,1
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,参考这个 logo，做一个意境感的新中式餐饮品牌 logo,4
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,"生成茶馆品牌 logo，品牌名是""美好时光""纯中文字体设计标志，手写字体，古朴感",1
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,"生成服饰行业 logo，品牌名是""BETTER""英文字体设计标志，简约字体，运动",4
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,"生成美妆品牌 logo，中文品牌名是""美好生活""衬线宋体字设计，简约曲线设计，柔",4
logo设计,E01,研发,哪张 logo 最适合实际商用，放在各类品牌物料（名片、包装、门店、线上）上都自然合适？/V1,生成快递外卖行业 logo，品牌标识是一个立体图形（星球与箭头结合），有透视感，,1
